X,Y,Z,RX,RY,RZ
112.608,-796.499,43.348,-89.5324,-0.9992,-91.9954
112.607,-897.056,43.343,-89.5324,-0.9985,-91.9953
112.599,-762.344,43.348,-89.7346,-15.0535,-92.0526
145.798,-752.263,-85.941,-89.1368,-47.8425,-92.2589
-26.34,-734.899,-85.938,-88.9052,-47.8352,-65.8857
261.558,-762.355,28.325,-105.4817,-15.0510,-87.9392
261.557,-762.363,-57.264,-106.1418,-33.1714,-87.9518
303.945,-826.863,-74.839,-82.8482,-24.1229,-132.0941
308.805,-920.967,-79.467,-82.8467,-24.1226,-146.9632
187.754,-862.528,-79.482,-88.7914,-5.5503,-94.6093
130.077,-862.522,-165.400,-88.7915,-5.5497,-94.6089
112.606,-897.056,43.347,-105.3272,-1.5042,-91.6482
252.802,-736.242,-135.514,-73.3344,-24.7822,-95.3231
137.534,-736.242,-135.516,-64.095,-26.3985,-99.1367
112.609,-897.055,43.342,-69.4980,-0.2535,-92.2161
137.535,-736.246,-135.510,-54.9365,-24.7715,-103.1003
122.139,-931.409,-12.522,-90.0774,14.0697,-94.9834
122.145,-933.964,-84.604,-90.0775,14.0704,-94.9829
212.782,-957.093,-84.624,-104.8324,17.4319,-78.9451
39.409,-904.052,-99.576,-92.1758,18.2941,-124.1430